id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance,index
2661,SET2PE,1,0,0.0038181818,0.003,0.005,0.0005235703,0.0041969697,0.003,0.005,259996,455.271,40,638
2662,SUGRIDF,1,0,0.0041363636,0.003,0.005,0.0006047597,0.5818787879,0.579,0.585,66,455.282,40,639
2664,UPDRGAS,1,0,0.004969697,0.004,0.005,0.0001727334,0.0051818182,0.005,0.006,6534,455.184,20,640
2665,ALLFPOS,1,0,0.0048636364,0.004,0.006,0.0007208193,4.3767424242,4.063,4.836,594,455.113,33.3333333333,641
2666,SUFA,1,0,0.0049545455,0.004,0.007,0.0010731953,0.0051818182,0.004,0.007,66,455.208,42.8571428571,642
2667,SUECOZC,1,0,0.0035757576,0.003,0.005,0.0006577492,0.0035757576,0.003,0.005,594,455.362,40,643
2668,>MPL-SARINVERT BCAST WAM  ( 696),1,0,0.0028181818,0,0.007,0.0015875389,0.0028181818,0,0.007,66,455.533,100,644
2669,SURIP0,1,0,0.0041212121,0.004,0.005,0.0003288746,0.0041212121,0.004,0.005,66,455.212,20,645
2670,>BAR-BARRIER IN DIST_GRID_( 786),1,0.0001515152,0.009030303,0,0.044,0.0066563323,0.009030303,0,0.044,264,455.69,100,646
2674,>OMP-GATH_SPEC_CONTROL    (1644),6,0,0.0043510101,0.002,0.006,0.0006641061,0.0043510101,0.002,0.006,792,455.165,66.6666666667,647
2675,SUSPSDT,1,0,0.0030909091,0,0.004,0.0016891261,0.0067878788,0,0.009,66,455.238,100,648
2676,>MPL-BROADCAST IOSTREAM SP( 631),1,0.0062121212,0.0288484848,0,0.071,0.0289116652,0.0288484848,0,0.071,66,453.447,100,649
2677,SURFACE_FIELDS_MIX:ALLO_SURF,1,0,0.0037878788,0.002,0.005,0.0005118639,0.0037878788,0.002,0.005,66,455.247,60,650
2681,>OMP-WAMODEL 4            (1439),6,0,0.0040252525,0.003,0.005,0.0002835019,0.0049217172,0.004,0.005,396,455.203,40,651
2686,SDISSIP,6,0,0.0040050505,0.004,0.005,7.09768903360072E-05,0.8077954545,0.767,0.851,915486,455.247,20,652
2695,>OMP-WAM MPDECOMP         (1497),6,0,0.0040505051,0.004,0.005,0.0002192617,0.0040505051,0.004,0.005,1188,455.282,20,653
2696,RDSCAW,6,0,0.0040858586,0.004,0.005,0.0002805095,0.0048358586,0.004,0.006,858330,455.263,20,654
2705,>OMP-SUGAW_MOD            (1650),6,0,0.0030252525,0.001,0.014,0.0021884319,0.0030277778,0.001,0.014,792,455.5,92.8571428571,655
2706,SCAN2M_HPOS,6,0,0.0031893939,0.002,0.009,0.0013749987,0.027770202,0.024,0.03,368280,455.427,77.7777777778,656
2707,GRIDFPOS,1,0,0.0039848485,0.003,0.008,0.0014303569,0.0449393939,0.044,0.046,594,455.198,62.5,657
2713,LOGDIS,1,0.0009090909,0.008,0.003,0.269,0.032621371,0.008,0.003,0.269,6402,455.251,98.8847583643,658
2718,radiation_single_level:deallocate,6,0,0.004,0.003,0.005,0.0002012618,0.0040833333,0.004,0.005,243540,455.259,40,659
2719,SUGEM_NAML,1,0,0.0039848485,0.003,0.004,0.0001230915,0.0039848485,0.003,0.004,66,455.259,25,660
2721,GRIB_API:IGRIB_CLONE,1,0.004,0.0211857143,0.004,0.318,0.0703381672,0.0212,0.004,0.319,3384,455.263,98.7421383648,661
2723,>MPL-SLCOMM1_COMMS        ( 509),1,0,0.0054545455,0.002,0.018,0.0038317773,0.005469697,0.002,0.018,6534,455.39,88.8888888889,662
2726,GATH_GRID,1,0,0.0017575758,0,0.004,0.0010386471,0.1759090909,0.005,0.18,66,455.604,100,663
2728,MPFLDTOIFS,1,0,0.0031666667,0.002,0.005,0.0007958224,0.6998787879,0.193,1.369,6336,455.274,60,664
2729,SPCIMPFSOLVE,1,0,0.0033636364,0.003,0.004,0.0004847319,0.5584242424,0.511,0.606,6336,455.358,25,665
2730,RRTM_KGB8,1,0,0.0032727273,0.002,0.004,0.0006213002,0.0032727273,0.002,0.004,66,455.365,50,666
2731,SUDYN,1,0,0.0042575758,0.004,0.005,0.0004406501,0.0386060606,0.035,0.044,66,455.234,20,667
2733,MINV_8:GECO,1,0,0.0039545455,0.003,0.005,0.0002735419,0.003969697,0.003,0.005,396,455.314,40,668
2734,POS:FILL_PP2,6,0,0.0022020202,0.001,0.005,0.0006672035,0.0023686869,0.002,0.006,491040,455.519,80,669
2735,MWP1,6,0,0.0035479798,0.003,0.004,0.0004983222,0.003719697,0.003,0.004,84942,455.402,25,670
2736,RRTM_KGB2,1,0,0.0037272727,0.003,0.004,0.0004487746,0.0037272727,0.003,0.004,66,455.242,25,671
2737,MWP2,6,0,0.0035025253,0.003,0.004,0.0005006261,0.0036843434,0.003,0.004,84942,455.405,25,672
2738,SUACV,1,0,0.0031969697,0.003,0.004,0.0004007569,0.004,0.004,0.004,66,455.325,25,673
2742,UNSETICE,6,0,0.0026818182,0.002,0.004,0.0007358954,0.0035227273,0.002,0.005,9438,455.5,50,674
2747,IOSPECE_MOD:IOSPECE_PL_SELECTFY,1,0,0.0034848485,0.003,0.004,0.0005036001,0.0035757576,0.003,0.004,198,455.311,25,675
2752,SPECTRAL_FIELDS_MOD:CREATE_SPEC,1,0,0.0030454545,0.003,0.004,0.0002098951,0.0030454545,0.003,0.004,66,455.335,25,676
2753,SP2GPMCUF,1,0,0.0020606061,0,0.004,0.0016629796,0.0020606061,0,0.004,198,455.451,100,677
2754,GRIB_CODE_MESSAGE,1,0,0.0032727273,0.003,0.004,0.0004487746,0.0090909091,0.008,0.01,1716,455.321,25,678
2755,radiation_gas:get,6,0,0.0030479798,0.003,0.004,0.0002139939,0.0031338384,0.003,0.004,121770,455.368,25,679
2756,OUTBS,1,0,0.0035757576,0.003,0.005,0.000583375,0.6475,0.496,0.882,198,455.345,40,680
2757,TABU_SWELLFT,1,0,0.0030151515,0.003,0.004,0.0001230915,0.0030151515,0.003,0.004,66,455.349,25,681
2761,TRANSDIR_MDL,1,0,0.0031666667,0.003,0.004,0.0003755338,19.8041060606,12.194,32.234,6336,455.332,25,682
2762,SUCLOPN,1,0,0.0030151515,0.002,0.004,0.0004469529,0.0030151515,0.002,0.004,132,455.342,50,683
2764,PROPAG_WAM,1,0,0.0031515152,0.003,0.004,0.0003612978,2.7642878788,2.624,2.995,6336,455.307,25,684
2766,IOSTREAM_MIX:SETUP_IOSTREAM,1,0,0.0035757576,0.003,0.005,0.0005280037,0.0068333333,0.003,0.039,396,455.355,40,685
2770,RRTM_KGB4,1,0,0.0032727273,0.003,0.004,0.0004487746,0.0032727273,0.003,0.004,66,455.387,25,686
2772,MICEP,6,0,0.0029292929,0.002,0.004,0.0003486691,0.0032222222,0.003,0.005,915486,455.393,50,687
2774,GETWND,1,0,0.0030606061,0.003,0.004,0.0002404347,0.5595909091,0.554,0.564,6402,455.286,25,688
2775,SPGEOM_MOD:SUSPGM,1,0,0.003,0.003,0.003,0,0.003,0.003,0.003,66,455.422,0,689
2776,PRESET_WGRIB_TEMPLATE,1,0,0.0050606061,0.002,0.007,0.0012511999,0.0338939394,0.031,0.036,132,455.084,71.4285714286,690
2779,WVXF2GB,1,0,0.003,0.003,0.003,0,0.2044090909,0.174,0.256,6336,455.384,0,691
2780,GRIB_API:IGRIB_RELEASE,1,0.0005714286,0.0061714286,0.003,0.06,0.0124934434,0.0062,0.003,0.06,8327,455.393,95,692
2783,OUTBETA,6,0,0.0028207071,0.002,0.003,0.0003840827,0.0033636364,0.003,0.004,915486,455.435,33.3333333333,693
2784,PE2SET,6,0,0.0005050505,0,0.005,0.0011351573,0.0006717172,0,0.007,459426,455.731,100,694
2785,LFICOM:NEW_LFI,1,0,0.0028939394,0.002,0.003,0.0003102747,0.0028939394,0.002,0.003,66,455.413,33.3333333333,695
2787,OUTBLOCK,6,0,0.0032020202,0.002,0.006,0.0007561367,0.6186262626,0.462,0.86,28314,455.494,66.6666666667,696
2791,KURTOSIS,6,0,0.0029015152,0.002,0.004,0.0003228006,0.0222575758,0.018,0.024,28314,455.47,50,697
2793,>OMP-SETUP MODGRIN 3      (1404),6,0,0.002229798,0.001,0.003,0.0007763732,0.002229798,0.001,0.003,396,455.411,66.6666666667,698
2800,SUSWN,1,0,0.0018484848,0.001,0.003,0.0007069419,0.0018484848,0.001,0.003,66,455.519,66.6666666667,699
2802,RRTM_KGB14,1,0,0.0019545455,0.001,0.003,0.0007732413,0.0019545455,0.001,0.003,66,455.559,66.6666666667,700
2804,>TRS-LTINV_CTL   - INVERSE( 102),1,0,0.003030303,0.003,0.004,0.0001727334,4.1331212121,3.238,4.392,6600,455.427,25,701
2808,SUVERT,1,0,0.0026666667,0.002,0.003,0.0004750169,0.0356969697,0.034,0.053,66,455.443,33.3333333333,702
2809,SUCUMF,1,0,0.003,0.003,0.003,0,0.003,0.003,0.003,66,455.43,0,703
2811,IO_SERV_SUIOSCTMPL:MKSPSORT_MODEL,1,0,0.0033030303,0.002,0.019,0.0019843208,0.081030303,0.02,0.082,66,455.419,89.4736842105,704
2813,CPG_DRV,1,0,0.0022878788,0.002,0.003,0.0004562439,69.2734242424,67.226,70.4,6402,455.455,33.3333333333,705
2818,SETUP_VAR,1,0,0.0036666667,0.002,0.007,0.0016012815,0.0045909091,0.003,0.008,66,455.018,71.4285714286,706
2821,IO_SERV_SEND_MDL,1,0,0.0066818182,0,0.015,0.0038596895,0.0066969697,0,0.015,5082,454.806,100,707
2822,DIR_TRANS,1,0,0.0045606061,0.003,0.006,0.000825158,21.5604393939,14,33.912,6798,455.368,50,708
2827,>OMP-SETUP SUGRIDG X      (1409),6,0,0.0029393939,0.002,0.003,0.0002389081,0.0029494949,0.002,0.003,20196,455.419,33.3333333333,709
2828,SUALMDH,1,0,0.002530303,0.002,0.003,0.0005029053,0.002530303,0.002,0.003,66,455.445,33.3333333333,710
2832,PPT_OLD,6,0,0.0021691919,0.001,0.003,0.0003820801,0.0130353535,0.009,0.026,245520,455.53,66.6666666667,711
2833,SULAP,1,0,0.0024242424,0,0.003,0.000583375,0.0024242424,0,0.003,66,455.433,100,712
2836,>MPL-GPNORM_TRANS         ( 815),1,0.0013636364,0.0086818182,0.001,0.245,0.0323676758,0.0086818182,0.001,0.245,7854,455.613,99.5918367347,713
2838,GP_MODEL_HEAP2,1,0,0.0024848485,0.002,0.003,0.0005036001,347.8916666667,335.833,356.279,6402,455.448,33.3333333333,714
2839,SUFAINIT,1,0,0.0022878788,0.002,0.003,0.0004562439,0.005530303,0.005,0.006,66,455.508,33.3333333333,715
2840,RRTM_KGB6,1,0,0.0016363636,0.001,0.002,0.0004847319,0.0016363636,0.001,0.002,66,455.62,50,716
2841,>OMP-TRANSDIR_MDL         (1036),6,0,0.0029974747,0.002,0.009,0.0022394605,0.0030050505,0.002,0.009,38016,455.468,77.7777777778,717
2842,SUVFE_ADJUST_AB,1,0,0.0025454545,0.001,0.003,0.0005315237,0.0167272727,0.008,0.034,66,455.425,66.6666666667,718
